id,cargo_closing,cargo_opening,code,container_id,container_number,container_type,delivery_datetime,delivery_location_id,export_before_cargoopening,export_blocked,export_correct_ordernumber,export_customs_doc_available,export_discharge_datetime,export_full,export_other_issue,first_pickup,import_blocked,import_customs_cleared,import_full,import_loading_datetime,import_other_issue,import_present,import_released,index,last_pickup,note
f7e5a178-48f4-4081-bbad-a5f6eb89a0a6,,,524332-005,269739ee-d18c-47b0-9180-769f62b82681,HASU 135911 5,20DV,2025-01-15T08:00:00.000Z,e11d848e-b18a-4e9d-97e5-a29d0fa36fe0,False,False,True,True,2025-01-16 11:13,False,False,2025-01-06T20:00:00.000Z,False,True,True,2025-01-07 20:25,False,True,True,1,,
5ca6ebf4-1957-4ce1-ac8e-ed70fca5a4cc,2025-02-14T11:00:00.000Z,2025-02-05T23:00:00.000Z,530150-003,0ebf45be-7dee-4d90-8f00-a8e94f574ed3,EITU 317077 1,20DV,2025-01-27T08:00:00.000Z,b6a842aa-64a2-4fd5-b2f8-5aa1569b25b5,False,False,False,True,,True,False,2025-01-23T23:00:00.000Z,False,True,False,2025-01-24 11:55,False,True,True,1,2025-01-24T23:00:00.000Z,
8f6391f9-21a1-461e-950d-098872a8b896,,,527766-001,c621d319-0e3b-42d2-ab45-4248c4d45d49,TCLU 868893 7,40HC,2025-02-25T06:00:00.000Z,dea36451-274f-480d-8dbb-d12214b3ea3c,True,True,False,False,,False,True,2025-02-13T23:00:00.000Z,False,True,True,2025-02-14 22:20,False,True,True,0,2025-02-16T23:00:00.000Z,
85ff0aa7-1b2f-457d-a6c5-51761e0977a1,,,530684-001,6ecaeb07-858f-4967-b04a-29edb6db8b4f,TCNU 684215 1,40HC,2025-02-25T08:00:00.000Z,52ee018d-8e81-4713-a418-6ed0e4cf152e,True,True,False,False,,False,True,2025-02-15T21:00:00.000Z,False,True,True,2025-02-19 14:33,False,True,True,1,2025-02-16T23:00:00.000Z,
7dcdc80c-b177-42e5-8186-7456f555dbdc,2025-02-02T19:00:00.000Z,,530757-001,d702ca24-5adf-41fb-a4c1-acb6c6e6559d,EURU 054293 2,20TK,,,True,True,False,False,,True,True,2025-01-29T06:00:00.000Z,True,False,True,,False,False,False,1,,
71598110-d788-40ca-b78e-fa81ee74c1e9,2025-02-02T19:00:00.000Z,,530757-002,da8f10bd-44d2-478d-8f5e-2e93e766c535,EXFU 175556 8,20TK,,,True,True,False,False,,True,True,2025-01-29T06:00:00.000Z,False,True,True,,False,False,False,1,,
157bed81-4e78-44c8-95d2-1cd49c80e403,,,528803-001,56eee7f9-a585-4828-a1fe-bd5e891da01f,UETU 777881 3,40HC,2025-02-27T06:00:00.000Z,dea36451-274f-480d-8dbb-d12214b3ea3c,True,True,False,False,,False,True,2025-02-24T23:00:00.000Z,True,False,True,,True,False,False,0,2025-02-25T23:00:00.000Z,
07e830a4-03ba-4064-9f6c-60e73ef1488f,,,528616-002,eb7ec67f-478b-4716-b1d0-f067e647d17b,HMMU 642990 2,40HC,2025-02-26T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-16T23:00:00.000Z,False,True,True,2025-02-22 06:52,False,True,True,1,,
6d6d09bd-6503-44f1-919d-1607cca4fa5b,,,526556-005,66c87ae8-6fc3-4708-91d2-fc5dc51cdd56,SEGU 580299 1,40HC,2025-02-26T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-16T23:00:00.000Z,False,True,True,2025-02-22 07:23,False,True,True,1,,
aeb61760-d87e-49ce-b402-7fb10a80de37,,,526556-003,69b947c1-5593-42f5-86db-73bf8efb1fd1,HMMU 646841 0,40HC,2025-02-26T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-16T23:00:00.000Z,False,True,True,2025-02-22 06:54,False,True,True,1,,
0b4efbf8-f3d7-4e72-a905-bad44e9813d7,,,526556-001,c23dad04-090e-4c0e-bf63-0e40c9887c16,BSIU 251775 1,20DV,2025-02-26T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-16T23:00:00.000Z,False,True,True,2025-02-22 06:45,False,True,True,0,,
d5e29de1-9170-4882-ab71-16369d2abfb5,,,526556-002,51b60ea1-b59e-4f50-92d2-3893c16fb7bf,HMMU 605689 8,40HC,2025-02-26T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-16T23:00:00.000Z,False,True,True,2025-02-22 07:21,False,True,True,1,,
38497e8c-2958-4724-b0cc-0b10bbe8a9f5,2025-03-08T22:59:00.000Z,2025-02-28T23:01:00.000Z,532057-001,41fc7558-d3e7-4d37-9403-07e694504807,HMMU 693677 0,40HC,2025-02-27T06:45:00.000Z,528d53aa-1c26-4b55-a786-dcf76ab4ea0c,False,False,True,True,2025-03-02 13:19,True,False,2025-02-23T23:01:00.000Z,False,True,False,2025-02-26 12:43,False,True,True,1,2025-02-26T22:59:00.000Z,
40c385f5-861a-4f3b-a84a-2d4f82b2e46d,2025-03-08T22:59:00.000Z,2025-02-28T23:01:00.000Z,532057-002,2eb47c6d-5b51-4f42-81e3-e9b7c5209d5b,HMMU 711905 4,40HC,2025-02-27T07:45:00.000Z,528d53aa-1c26-4b55-a786-dcf76ab4ea0c,False,False,True,True,2025-03-02 13:17,True,False,2025-02-23T23:01:00.000Z,False,True,False,2025-02-26 16:53,False,True,True,1,2025-02-26T22:59:00.000Z,
5fc0bdda-9334-4610-8a77-5c6a0a67d86e,2025-03-01T12:00:00.000Z,2025-02-20T05:00:00.000Z,532058-001,d51fa925-ffb5-4735-b8ec-12b9e0af3c4c,OERU 409266 3,40RH,2025-02-24T12:00:00.000Z,0a9a89ae-b592-49f9-b4b2-06e8d1c0bf57,False,False,True,True,2025-02-24 17:46,True,False,2025-02-15T12:00:00.000Z,False,True,False,2025-02-19 14:21,False,True,True,1,2025-02-19T22:59:00.000Z,
c996c9e5-6e11-49c6-9757-1c1c50bc2040,2025-02-27T11:00:00.000Z,,532061-001,adedeaa6-b5e8-4e83-8049-eebe860cae8c,ONEU 539610 1,40HC,2025-02-24T11:00:00.000Z,0483915c-257a-4249-817c-1158a8364b0d,False,False,True,True,2025-02-26 07:31,True,False,,True,False,False,,True,False,False,2,,
1f47f821-4b0c-43f7-a708-fd53effd9f7a,2025-03-03T23:00:00.000Z,,530764-001,934eac74-718f-48d9-9789-171d3df258e8,YMLU 957156 0,40HC,2025-02-24T07:00:00.000Z,7164bb30-47c5-48c9-9b4a-efa0666e4981,False,False,True,True,2025-03-05 06:03,False,False,2025-02-07T23:00:00.000Z,False,True,True,2025-02-15 16:17,False,True,True,1,2025-02-09T23:00:00.000Z,
fada7c7d-a91c-4d08-b2a4-03847f0f0f9c,,,532106-001,92653d0e-5e72-4780-900a-c2782a62fb90,GAOU 738831 0,40HC,2025-02-27T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-11T23:00:00.000Z,True,False,True,,True,False,False,2,,
f5f77b85-3e9a-4085-84fe-d6ad122e3923,,,532112-001,c83da749-0d2a-4c0c-b6b7-63f3b326d982,TCKU 105912 8,20DV,2025-02-27T05:00:00.000Z,7bec600c-b329-4696-ba79-3c663a23f35e,True,True,False,False,,False,True,2025-02-11T23:00:00.000Z,True,False,True,,True,False,False,2,,
