id,estimated_arrival,estimated_departure,estimated_distance,estimated_driving_duration,estimated_service_duration,estimation_type,index,location_id,transport_id
dbff8217-a591-4ab5-a877-08d9bf472fc2,2025-04-03T16:24:00+00:00,2025-04-03T16:44:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,f1678bbd-d7e7-447d-992a-cb4b7d7117cb
e1393b0f-684c-4936-ba90-aa419228354d,2025-04-03T18:00:00+00:00,2025-04-03T18:30:00+00:00,96.0,76.0,30.0,osrm,1,01c1c25d-9080-4a7b-8168-9c90c2eda26d,f1678bbd-d7e7-447d-992a-cb4b7d7117cb
dd939eda-156b-4aeb-9422-78c55e454663,2025-04-04T16:24:00+00:00,2025-04-04T16:44:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,64f31b1b-bf5c-4f7b-82f3-d3d5ffd54029
98d53b83-3c0c-428e-bc83-1d60fd8aac5e,2025-04-04T18:00:00+00:00,2025-04-04T18:30:00+00:00,96.0,76.0,30.0,osrm,1,01c1c25d-9080-4a7b-8168-9c90c2eda26d,64f31b1b-bf5c-4f7b-82f3-d3d5ffd54029
371ebd6e-dc1a-4a73-9a6b-a9ef1e9a13f8,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,96.0,75.0,30.0,osrm,1,5c1ac882-87f0-466b-bf49-914a38930821,6ba1ddc7-2633-46d9-ac53-5b2e93113606
aa59b121-f8fc-4aea-a6fb-529f0248fb99,2025-03-28T17:25:00+00:00,2025-03-28T17:45:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,6ba1ddc7-2633-46d9-ac53-5b2e93113606
0945166b-762d-4d6c-8acd-2f2f9b36d671,2025-03-28T17:25:00+00:00,2025-03-28T17:45:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,1757c906-a5e8-4b6b-bf8a-a9199d849a7a
d332d8d9-5962-4d4e-b6f8-64a4eb1728a5,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,96.0,75.0,30.0,osrm,1,5c1ac882-87f0-466b-bf49-914a38930821,1757c906-a5e8-4b6b-bf8a-a9199d849a7a
4eafb830-34fe-4f4b-85e7-56a821471149,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,96.0,75.0,30.0,osrm,1,5c1ac882-87f0-466b-bf49-914a38930821,41fefa9f-0865-43a9-b1c0-726e2e846d9f
038980d1-3064-4d90-b59d-da40c241ad1c,2025-03-28T17:25:00+00:00,2025-03-28T17:45:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,41fefa9f-0865-43a9-b1c0-726e2e846d9f
85b391be-845b-4680-9ed4-39298288ec4a,2025-03-28T17:25:00+00:00,2025-03-28T17:45:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,8d78e36d-89a7-480c-98d9-e5388e93068a
d180c2f3-6264-4bb0-91cc-c4044c228649,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,96.0,75.0,30.0,osrm,1,5c1ac882-87f0-466b-bf49-914a38930821,8d78e36d-89a7-480c-98d9-e5388e93068a
4046d03d-8fff-47db-ad50-ee7ac263e70d,2025-04-02T16:30:00+00:00,2025-04-02T16:50:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,4d10ef40-fdba-49b2-b3f1-b00c2e3ecd4f
3eb98200-819c-4c18-a481-2bcd474f0b0a,2025-04-02T18:00:00+00:00,2025-04-02T18:30:00+00:00,87.0,70.0,30.0,osrm,1,b0590390-bc00-43ac-bbb1-ff8c75c09d62,4d10ef40-fdba-49b2-b3f1-b00c2e3ecd4f
981fd585-33a4-4c44-8443-2becd6a0fecb,2025-03-28T17:16:00+00:00,2025-03-28T17:36:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,dfeead42-f94e-4a2a-824e-8b58a24ff85e
6613e870-b1fc-440d-9798-6a6df4b359bb,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,110.0,84.0,30.0,osrm,1,2fd2cd6b-b813-4cb7-9fa6-e98f0c0be8e1,dfeead42-f94e-4a2a-824e-8b58a24ff85e
04bcd442-2cf6-4405-8f5b-6f0d90fde940,2025-03-28T17:16:00+00:00,2025-03-28T17:36:00+00:00,0.0,0.0,20.0,osrm,0,f406e675-253c-484d-8c5f-da34ec9eb3b5,e47a451e-bfb9-4e45-8ab2-1c2314900837
d67263bd-595b-4dfd-a0f6-93be2428d24b,2025-03-28T19:00:00+00:00,2025-03-28T19:30:00+00:00,110.0,84.0,30.0,osrm,1,2fd2cd6b-b813-4cb7-9fa6-e98f0c0be8e1,e47a451e-bfb9-4e45-8ab2-1c2314900837
